BENCHMARK,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,I01,I02,I03,I04,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20
Kcore-CA,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,0.1,0.1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcore-FB,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcore-LJ,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcore-TWTR,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,0.7,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcore-Frnd,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,0.8,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcore-CO,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcore-CAGE,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcore-RGG,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,0.5,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcore-KRON,0,0,0,0.8,0.2,0,0.8,0.2,0.4,0.6,0.6,0.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta-Stepping-CA,0.2,0,0,0.6,0.2,0,0.6,0.4,0.2,0.8,0.5,0.4,0,0.1,0.1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
