B01 VERTEX_DIVISION
B02 PARETO
B03 PARETO_DIVISION
B04 PUSH_POP
B05 REDUCTION
B06 FLOATING_POINT
B07 DATA_DRIVEN
B08 INDIRECT
B09 READ_ONLY
B10 READ_WRITE_SHARED
B11 LOCAL_COMP
B12 CONTENTION
B13 BARRIERS
I01 VERTICES
I02 EDGES
I03 MAX_EDGES
I04 DIAMETER
M01 ACCELERATOR
M02 CORES
M03 MULTITHREADING
M04 KMP_BLOCKTIME
M05 KMP_PLACE_THREADS_CORES
M06 KMP_PLACE_THREADS_THREADS
M07 KMP_PLACE_THREADS_OFFSET
M08 KMP_AFFINITY
M09 OMP_NOWAIT
M10 SIMD
M11 OMP_FOR_SCHEDULE_STATIC
M12 OMP_FOR_SCHEDULE_GUIDED
M13 OMP_FOR_SCHEDULE_DYNAMIC
M14 OMP_FOR_SCHEDULE_AUTO
M15 OMP_FOR_SCHEDULE_CHUNK_SIZE
M16 OMP_NESTED
M17 OMP_MAX_ACTIVE_LEVELS
M18 GOMP_SPINCOUNT
M19 GLOBAL_THREADS
M20 LOCAL_THREADS
